initial_alias,converted_alias,name,description
ILMN_1651438,ENSG00000179588,ZFPM1,"zinc finger protein, FOG family member 1 [Source:HGNC Symbol;Acc:HGNC:19762]"
ILMN_1651453,None,None,None
ILMN_1651457,ENSG00000142511,GPR32,G protein-coupled receptor 32 [Source:HGNC Symbol;Acc:HGNC:4487]
ILMN_1651464,ENSG00000089094,KDM2B,lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610]
ILMN_1651486,ENSG00000231162,COX11P1,COX11 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2262]
ILMN_1651488,None,None,None
ILMN_1651490,ENSG00000095596,CYP26A1,cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]
ILMN_1651490,ENSG00000279607,AL358613.2,novel transcript
ILMN_1651492,ENSG00000134245,WNT2B,Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]
ILMN_1651496,ENSG00000158373,H2BC5,H2B clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4747]
ILMN_1651496,ENSG00000274290,H2BC6,H2B clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4753]
ILMN_1651498,None,None,None
ILMN_1651499,ENSG00000113719,ERGIC1,endoplasmic reticulum-golgi intermediate compartment 1 [Source:HGNC Symbol;Acc:HGNC:29205]
ILMN_1651501,ENSG00000119688,ABCD4,ATP binding cassette subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:68]
ILMN_1651504,ENSG00000125386,FAM193A,family with sequence similarity 193 member A [Source:HGNC Symbol;Acc:HGNC:16822]
ILMN_1651506,ENSG00000137574,TGS1,trimethylguanosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:17843]
ILMN_1651507,ENSG00000121350,PYROXD1,pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:HGNC Symbol;Acc:HGNC:26162]
ILMN_1651507,ENSG00000213252,AP001282.1,pyridine nucleotide-disulphide oxidoreductase domain 1 (PYROXD1) pseudogene
ILMN_1651508,None,None,None
ILMN_1651513,ENSG00000039123,MTREX,Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]
ILMN_1651532,None,None,None
ILMN_1651535,ENSG00000172738,TMEM217,transmembrane protein 217 [Source:HGNC Symbol;Acc:HGNC:21238]
ILMN_1651535,ENSG00000286105,AL353579.1,transmembrane protein 217 [Source:NCBI gene;Acc:221468]
ILMN_1651538,ENSG00000105245,NUMBL,NUMB like endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8061]
ILMN_1651544,ENSG00000147099,HDAC8,histone deacetylase 8 [Source:HGNC Symbol;Acc:HGNC:13315]
ILMN_1651547,ENSG00000170381,SEMA3E,semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]
ILMN_1651554,ENSG00000143248,RGS5,regulator of G protein signaling 5 [Source:HGNC Symbol;Acc:HGNC:10001]
ILMN_1651557,ENSG00000178202,POGLUT3,protein O-glucosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28496]
ILMN_1651565,ENSG00000229373,LINC00452,long intergenic non-protein coding RNA 452 [Source:HGNC Symbol;Acc:HGNC:42800]
ILMN_1651567,ENSG00000109685,NSD2,nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]
ILMN_1651569,ENSG00000196584,XRCC2,X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]
ILMN_1651574,ENSG00000165272,AQP3,aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]
ILMN_1651599,ENSG00000054179,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]
ILMN_1651604,ENSG00000007047,MARK4,microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]
ILMN_1651606,ENSG00000154545,MAGED4,MAGE family member D4 [Source:HGNC Symbol;Acc:HGNC:23793]
ILMN_1651606,ENSG00000187243,MAGED4B,MAGE family member D4B [Source:HGNC Symbol;Acc:HGNC:22880]
ILMN_1651609,ENSG00000188766,SPRED3,sprouty related EVH1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31041]
ILMN_1651610,ENSG00000164056,SPRY1,sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]
ILMN_1651617,ENSG00000168036,CTNNB1,catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]
ILMN_1651624,ENSG00000185689,C6orf201,chromosome 6 open reading frame 201 [Source:HGNC Symbol;Acc:HGNC:21620]
ILMN_1651628,ENSG00000138190,EXOC6,exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196]
ILMN_1651636,ENSG00000197838,CYP2A13,cytochrome P450 family 2 subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:2608]
ILMN_1651637,None,None,None
ILMN_1651642,ENSG00000213420,GPC2,glypican 2 [Source:HGNC Symbol;Acc:HGNC:4450]
ILMN_1651643,ENSG00000165192,ASB11,ankyrin repeat and SOCS box containing 11 [Source:HGNC Symbol;Acc:HGNC:17186]
ILMN_1651652,ENSG00000133318,RTN3,reticulon 3 [Source:HGNC Symbol;Acc:HGNC:10469]
ILMN_1651657,ENSG00000149451,ADAM33,ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]
ILMN_1651660,ENSG00000206140,TMEM191C,transmembrane protein 191C [Source:HGNC Symbol;Acc:HGNC:33601]
ILMN_1651660,ENSG00000226287,TMEM191A,transmembrane protein 191A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25317]
ILMN_1651660,ENSG00000277690,AC023490.5,transmembrane protein 191A (pseudogene) TMEM191A pseudogene
ILMN_1651660,ENSG00000278558,TMEM191B,transmembrane protein 191B [Source:HGNC Symbol;Acc:HGNC:33600]
ILMN_1651664,ENSG00000073578,SDHA,succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]
ILMN_1651664,ENSG00000185485,SDHAP1,succinate dehydrogenase complex flavoprotein subunit A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32455]
ILMN_1651664,ENSG00000214135,AC132008.2,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp) (SDHA) pseudogene"
ILMN_1651664,ENSG00000215837,SDHAP2,succinate dehydrogenase complex flavoprotein subunit A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:27408]
ILMN_1651664,ENSG00000242086,MUC20-OT1,MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]
ILMN_1651664,ENSG00000286001,AC021087.5,novel protein
ILMN_1651672,None,None,None
ILMN_1651680,ENSG00000214199,EEF1A1P12,eukaryotic translation elongation factor 1 alpha 1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:3195]
ILMN_1651681,ENSG00000163625,WDFY3,WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]
ILMN_1651684,ENSG00000100578,KIAA0586,KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]
ILMN_1651690,ENSG00000182405,PGBD4,piggyBac transposable element derived 4 [Source:HGNC Symbol;Acc:HGNC:19401]
ILMN_1651692,ENSG00000072786,STK10,serine/threonine kinase 10 [Source:HGNC Symbol;Acc:HGNC:11388]
ILMN_1651693,ENSG00000111305,GSG1,germ cell associated 1 [Source:HGNC Symbol;Acc:HGNC:19716]
ILMN_1651699,ENSG00000151491,EPS8,epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]
ILMN_1651705,ENSG00000121691,CAT,catalase [Source:HGNC Symbol;Acc:HGNC:1516]
ILMN_1651708,ENSG00000182698,RESP18,regulated endocrine specific protein 18 [Source:HGNC Symbol;Acc:HGNC:33762]
ILMN_1651712,ENSG00000185272,RBM11,RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897]
ILMN_1651715,ENSG00000121481,RNF2,ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]
ILMN_1651719,ENSG00000140943,MBTPS1,"membrane bound transcription factor peptidase, site 1 [Source:HGNC Symbol;Acc:HGNC:15456]"
ILMN_1651735,ENSG00000152291,TGOLN2,trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]
ILMN_1651737,None,None,None
ILMN_1651741,ENSG00000102401,ARMCX3,armadillo repeat containing X-linked 3 [Source:HGNC Symbol;Acc:HGNC:24065]
ILMN_1651745,None,None,None
ILMN_1651752,ENSG00000120280,CXorf21,chromosome X open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:25667]
ILMN_1651758,ENSG00000282840,AC004554.2,novel transcript
ILMN_1651760,ENSG00000254202,AC015522.1,novel transcript
ILMN_1651767,ENSG00000196588,MRTFA,myocardin related transcription factor A [Source:HGNC Symbol;Acc:HGNC:14334]
ILMN_1651769,ENSG00000039319,ZFYVE16,zinc finger FYVE-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20756]
ILMN_1651776,ENSG00000135723,FHOD1,formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]
ILMN_1651788,ENSG00000173327,MAP3K11,mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]
ILMN_1651789,ENSG00000169059,VCX3A,variable charge X-linked 3A [Source:HGNC Symbol;Acc:HGNC:18159]
ILMN_1651789,ENSG00000177504,VCX2,variable charge X-linked 2 [Source:HGNC Symbol;Acc:HGNC:18158]
ILMN_1651789,ENSG00000182583,VCX,variable charge X-linked [Source:HGNC Symbol;Acc:HGNC:12667]
ILMN_1651789,ENSG00000205642,VCX3B,variable charge X-linked 3B [Source:HGNC Symbol;Acc:HGNC:31838]
ILMN_1651792,ENSG00000143365,RORC,RAR related orphan receptor C [Source:HGNC Symbol;Acc:HGNC:10260]
ILMN_1651799,ENSG00000134294,SLC38A2,solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]
ILMN_1651800,ENSG00000168765,GSTM4,glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]
ILMN_1651806,None,None,None
ILMN_1651811,ENSG00000243156,MICAL3,"microtubule associated monooxygenase, calponin and LIM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24694]"
ILMN_1651817,ENSG00000171189,GRIK1,glutamate ionotropic receptor kainate type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4579]
ILMN_1651819,ENSG00000178234,GALNT11,polypeptide N-acetylgalactosaminyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19875]
ILMN_1651826,ENSG00000176788,BASP1,brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]
ILMN_1651828,ENSG00000163468,CCT3,chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]
ILMN_1651832,ENSG00000110047,EHD1,EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]
ILMN_1651850,ENSG00000105193,RPS16,ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]
ILMN_1651872,ENSG00000120942,UBIAD1,UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]
ILMN_1651886,ENSG00000095485,CWF19L1,CWF19 like cell cycle control factor 1 [Source:HGNC Symbol;Acc:HGNC:25613]
ILMN_1651899,ENSG00000204677,FAM153CP,"family with sequence similarity 153 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:33936]"
ILMN_1651899,ENSG00000218227,AC136632.1,ribosomal protein L19 (RPL19) pseudogene
ILMN_1651900,ENSG00000182255,KCNA4,potassium voltage-gated channel subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:6222]
ILMN_1651902,ENSG00000122035,RASL11A,RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802]
ILMN_1651903,ENSG00000196589,MBD3L2B,methyl-CpG binding domain protein 3 like 2B [Source:HGNC Symbol;Acc:HGNC:53435]
ILMN_1651903,ENSG00000230522,MBD3L2,methyl-CpG binding domain protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:18532]
ILMN_1651916,ENSG00000197822,OCLN,occludin [Source:HGNC Symbol;Acc:HGNC:8104]
ILMN_1651936,ENSG00000183955,KMT5A,lysine methyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:29489]
ILMN_1651938,ENSG00000214595,EML6,EMAP like 6 [Source:HGNC Symbol;Acc:HGNC:35412]
ILMN_1651943,ENSG00000151150,ANK3,ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]
ILMN_1651944,ENSG00000198561,CTNND1,catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]
ILMN_1651949,ENSG00000000457,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ILMN_1651950,ENSG00000169902,TPST1,tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]
ILMN_1651958,ENSG00000111341,MGP,matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]
ILMN_1651964,ENSG00000114770,ABCC5,ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]
ILMN_1651966,ENSG00000068078,FGFR3,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]
ILMN_1651967,ENSG00000115129,TP53I3,tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]
ILMN_1651980,ENSG00000273756,AC100756.3,golgin subfamily A member 6-like protein 6 [Source:NCBI gene;Acc:102723623]
ILMN_1651980,ENSG00000273976,GOLGA6L1,golgin A6 family like 1 [Source:HGNC Symbol;Acc:HGNC:37444]
ILMN_1651984,None,None,None
ILMN_1651987,ENSG00000198937,CCDC167,coiled-coil domain containing 167 [Source:HGNC Symbol;Acc:HGNC:21239]
ILMN_1652000,ENSG00000179304,FAM156B,family with sequence similarity 156 member B [Source:HGNC Symbol;Acc:HGNC:31962]
ILMN_1652000,ENSG00000268350,FAM156A,family with sequence similarity 156 member A [Source:HGNC Symbol;Acc:HGNC:30114]
ILMN_1652003,ENSG00000182625,AC091046.1,"guanine nucleotide binding protein (G protein), gamma 10 (GNG10) pseudogene"
ILMN_1652003,ENSG00000242616,GNG10,G protein subunit gamma 10 [Source:HGNC Symbol;Acc:HGNC:4402]
ILMN_1652003,ENSG00000244115,DNAJC25-GNG10,DNAJC25-GNG10 readthrough [Source:HGNC Symbol;Acc:HGNC:37501]
ILMN_1652003,ENSG00000254719,AC080023.2,guanine nucleotide binding protein (G protein) pseudogene
ILMN_1652006,ENSG00000072501,SMC1A,structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]
ILMN_1652008,ENSG00000128944,KNSTRN,kinetochore localized astrin (SPAG5) binding protein [Source:HGNC Symbol;Acc:HGNC:30767]
ILMN_1652015,None,None,None
ILMN_1652023,ENSG00000106351,AGFG2,ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]
ILMN_1652024,ENSG00000151292,CSNK1G3,casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]
ILMN_1652065,ENSG00000145936,KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285]
ILMN_1652072,ENSG00000177453,NIM1K,NIM1 serine/threonine protein kinase [Source:HGNC Symbol;Acc:HGNC:28646]
ILMN_1652073,ENSG00000186468,RPS23,ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]
ILMN_1652073,ENSG00000230629,RPS23P8,ribosomal protein S23 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:35982]
ILMN_1652081,None,None,None
ILMN_1652082,ENSG00000102034,ELF4,E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]
ILMN_1652085,ENSG00000124383,MPHOSPH10,M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]
ILMN_1652113,None,None,None
ILMN_1652123,ENSG00000205581,HMGN1,high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:HGNC:4984]
ILMN_1652128,ENSG00000168216,LMBRD1,LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]
ILMN_1652144,ENSG00000100626,GALNT16,polypeptide N-acetylgalactosaminyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:23233]
ILMN_1652147,ENSG00000055950,MRPL43,mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]
ILMN_1652151,ENSG00000119139,TJP2,tight junction protein 2 [Source:HGNC Symbol;Acc:HGNC:11828]
ILMN_1652151,ENSG00000285130,AL358113.1,novel protein
ILMN_1652160,ENSG00000198589,LRBA,LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]
ILMN_1652161,ENSG00000127838,PNKD,PNKD metallo-beta-lactamase domain containing [Source:HGNC Symbol;Acc:HGNC:9153]
ILMN_1652163,ENSG00000004975,DVL2,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ILMN_1652164,ENSG00000184795,UNC93B5,"unc-93 homolog B5, pseudogene [Source:HGNC Symbol;Acc:HGNC:34051]"
ILMN_1652185,ENSG00000077238,IL4R,interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]
ILMN_1652188,ENSG00000152223,EPG5,ectopic P-granules autophagy protein 5 homolog [Source:HGNC Symbol;Acc:HGNC:29331]
ILMN_1652196,ENSG00000126890,CTAG2,cancer/testis antigen 2 [Source:HGNC Symbol;Acc:HGNC:2492]
ILMN_1652196,ENSG00000184033,CTAG1B,cancer/testis antigen 1B [Source:HGNC Symbol;Acc:HGNC:2491]
ILMN_1652196,ENSG00000268651,CTAG1A,cancer/testis antigen 1A [Source:HGNC Symbol;Acc:HGNC:24198]
ILMN_1652198,ENSG00000136280,CCM2,CCM2 scaffold protein [Source:HGNC Symbol;Acc:HGNC:21708]
ILMN_1652199,ENSG00000211625,IGKV3D-20,immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825]
ILMN_1652199,ENSG00000211632,IGKV3D-11,immunoglobulin kappa variable 3D-11 [Source:HGNC Symbol;Acc:HGNC:5823]
ILMN_1652199,ENSG00000233999,IGKV3OR2-268,immunoglobulin kappa variable 3/OR2-268 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5830]
ILMN_1652199,ENSG00000239951,IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]
ILMN_1652199,ENSG00000241351,IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815]
ILMN_1652205,ENSG00000235215,AL592431.1,novel transcript
ILMN_1652205,ENSG00000241042,AL592431.2,novel transcript
ILMN_1652207,ENSG00000131143,COX4I1,cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]
ILMN_1652209,ENSG00000228294,BMS1P17,BMS1 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:49162]
ILMN_1652209,ENSG00000232775,BMS1P22,BMS1 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:51603]
ILMN_1652215,ENSG00000237528,AL929410.2,ubiquinol-cytochrome c reductase complex (7.2 kD) (HSPC051) pseudogene
ILMN_1652218,None,None,None
ILMN_1652219,ENSG00000197183,NOL4L,nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]
ILMN_1652223,ENSG00000105875,WDR91,WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]
ILMN_1652230,ENSG00000225770,RPS29P3,ribosomal protein S29 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:31363]
ILMN_1652236,None,None,None
ILMN_1652237,ENSG00000159231,CBR3,carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]
ILMN_1652242,None,None,None
ILMN_1652249,ENSG00000119383,PTPA,protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]
ILMN_1652254,ENSG00000267175,AC105094.2,novel transcript
ILMN_1652276,ENSG00000221867,MAGEA3,MAGE family member A3 [Source:HGNC Symbol;Acc:HGNC:6801]
ILMN_1652277,ENSG00000141574,SECTM1,secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]
ILMN_1652280,ENSG00000156804,FBXO32,F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]
ILMN_1652287,ENSG00000183691,NOG,noggin [Source:HGNC Symbol;Acc:HGNC:7866]
ILMN_1652297,ENSG00000248319,LINC02275,long intergenic non-protein coding RNA 2275 [Source:HGNC Symbol;Acc:HGNC:53191]
ILMN_1652300,ENSG00000168813,ZNF507,zinc finger protein 507 [Source:HGNC Symbol;Acc:HGNC:23783]
ILMN_1652306,ENSG00000145794,MEGF10,multiple EGF like domains 10 [Source:HGNC Symbol;Acc:HGNC:29634]
ILMN_1652309,ENSG00000165533,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087]
ILMN_1652313,ENSG00000099999,RNF215,ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]
ILMN_1652314,ENSG00000104450,SPAG1,sperm associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:11212]
ILMN_1652319,None,None,None
ILMN_1652331,ENSG00000167977,KCTD5,potassium channel tetramerization domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21423]
ILMN_1652331,ENSG00000215154,AC141586.1,potassium channel tetramerisation domain containing 5 (KCTD5) pseudogene
ILMN_1652333,ENSG00000141560,FN3KRP,fructosamine 3 kinase related protein [Source:HGNC Symbol;Acc:HGNC:25700]
ILMN_1652342,None,None,None
ILMN_1652348,ENSG00000181215,C4orf50,chromosome 4 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:33766]
ILMN_1652357,ENSG00000110435,PDHX,pyruvate dehydrogenase complex component X [Source:HGNC Symbol;Acc:HGNC:21350]
